Region, CO2 total output emission rate (lb/MWh) by eGRID subregion 2021
US,852.3
AKGD,1067.68
AKMS,485.186
AZNM,819.656
CAMX,531.678
ERCT,813.552
FRCC,832.924
HIMS,1134.391
HIOA,1633.097
MROE,1582.135
MROW,995.79
NEWE,539.367
NWPP,634.599
NYCW,816.756
NYLI,1210.94
NYUP,233.081
PRMS,1558.024
RFCE,672.787
RFCM,1214.061
RFCW,1046.132
RMPA,1158.86
SPNO,991.729
SPSO,1031.601
SRMV,772.737
SRMW,1543.034
SRSO,891.907
SRTV,931.586
SRVC,639.665
