Region, CO2 total output emission rate (lb/MWh) by eGRID subregion 2020
US,818.289
AKGD,1097.63
AKMS,534.073
AZNM,846.616
CAMX,513.455
ERCT,818.6
FRCC,835.079
HIMS,1143.23
HIOA,1652.95
MROE,1526.37
MROW,979.536
NEWE,528.238
NWPP,599.967
NYCW,634.612
NYLI,1203.93
NYUP,233.512
PRMS,1602.18
RFCE,652.458
RFCM,1153.06
RFCW,984.977
RMPA,1144.8
SPNO,954.032
SPSO,931.756
SRMV,740.359
SRMW,1480.7
SRSO,860.179
SRTV,834.182
SRVC,623.111
