Region, CO2 total output emission rate (lb/MWh) by eGRID subregion 2019
US,884.23
AKGD,1114.4
AKMS,549.312
AZNM,952.321
CAMX,453.209
ERCT,868.64
FRCC,861.028
HIMS,1185.595
HIOA,1694.541
MROE,1502.559
MROW,1098.353
NEWE,488.888
NWPP,715.241
NYCW,553.801
NYLI,1208.975
NYUP,232.305
PRMS,1537.308
RFCE,695.034
RFCM,1189.335
RFCW,1067.679
RMPA,1242.611
SPNO,1069.971
SPSO,1001.985
SRMV,806.755
SRMW,1584.391
SRSO,969.165
SRTV,949.695
SRVC,675.417
